#{"t_start": 1757679027.0682552, "env_id": "None"}
r,l,t
-170.775644,49,924.785725
-85.777129,42,925.031831
-92.498162,49,925.325208
-141.932648,38,925.564155
-100.506602,36,925.778836
-123.060582,47,926.05091
-117.065004,35,926.264078
-108.478742,44,926.542468
0.847572,92,927.099759
-71.220636,41,927.341823
-183.000824,55,927.673548
-86.5989,60,928.017639
-142.540721,39,928.255132
-119.714362,45,928.543224
-127.740962,45,928.815732
-127.129001,38,929.055232
-174.069682,46,929.322381
-114.279162,37,929.558055
-129.355691,38,929.793928
-130.19376,39,930.031068
-125.712661,59,930.397255
-122.822855,39,930.634122
-149.283265,42,930.894899
-110.240207,41,931.156402
-88.953469,39,931.393312
-139.307997,51,931.69984
-124.356861,66,932.087006
73.508521,232,933.454731
-52.514632,150,934.330482
-107.923902,44,934.592064
-125.068316,38,934.812797
-132.215244,37,935.033475
-110.881544,39,935.269959
-120.46474,42,935.522056
-128.063027,41,935.77627
-122.465978,68,936.177567
-142.017284,43,936.439286
-137.346022,60,936.794519
-116.886128,40,937.045284
-105.008246,38,937.283335
-111.431347,38,937.517049
-42.700972,81,938.02082
-191.562575,54,938.370922
-118.160207,44,938.630079
-102.108518,98,939.233244
-113.432909,38,939.477802
-134.127573,52,939.816908
-145.355989,81,940.326814
-193.30858,57,940.675294
-127.513756,41,940.937936
-187.027977,191,942.092559
-139.044144,39,942.326705
-139.651618,42,942.568443
-96.298232,79,943.033387
-358.525366,339,945.017607
-65.572378,48,945.301508
-116.994175,46,945.576012
-61.494376,21,947.817245
-156.180104,51,948.160543
-264.166105,40,948.406202
-204.917667,99,949.000656
-12.383306,145,949.876645
-70.926904,58,950.232198
-109.04746,41,950.476093
-149.648647,69,950.88421
-94.220613,131,951.706866
-129.570969,132,952.495187
9.567127,214,953.738861
11.696724,110,954.387936
-122.407719,58,954.718881
-110.321519,68,955.135795
-101.329467,113,955.800991
-95.084091,87,956.317004
-125.205195,61,956.664291
-64.00139,220,958.034868
-148.012578,273,959.729094
-99.716482,47,960.031534
-111.391342,127,960.84253
